Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
42585080,The Life of Saint Teresa of Avila: A Biography,Carlos Eire,"Eire, Carlos",,"=""0691164932""","=""9780691164939""",4,3.89,Princeton University Press,Hardcover,280,2019,,,2022/09/25,2022-reads,2022-reads (#49),read,,,,1,0
58724896,The Blue Diamond (The Daughter of Sherlock Holmes Mysteries #6),Leonard Goldberg,"Goldberg, Leonard",,"=""1250789591""","=""9781250789594""",3,4.09,Minotaur Books,Hardcover,336,2022,,,2022/09/17,2022-reads,2022-reads (#48),read,,,,1,0
45871635,History and Eschatology: Jesus and the Promise of Natural Theology,N.T. Wright,"Wright, N.T.",,"=""1481309625""","=""9781481309622""",5,4.46,Baylor University Press,Hardcover,365,2019,2019,,2022/09/17,2022-reads,2022-reads (#47),read,,,,1,0
4981937,Faith Victorious,Lennart Pinomaa,"Pinomaa, Lennart",,"=""0788099043""","=""9780788099045""",3,4.33,CSS Publishing Company,Paperback,240,2001,2001,2022/09/05,2022/09/05,2022-reads,2022-reads (#46),read,"Perhaps it’s a fair summary of Luther’s teaching, but the author fawns over Luther to the point it feels disgusting. ",,,1,0
17573019,The Late Medieval English Church: Vitality and Vulnerability Before the Break with Rome,G.W. Bernard,"Bernard, G.W.",,"=""0300197128""","=""9780300197129""",4,4.16,Yale University Press,Paperback,320,2013,2012,,2022/09/03,2022-reads,2022-reads (#45),read,,,,1,0
42479274,"Love over Fear: Facing Monsters, Befriending Enemies, and Healing Our Polarized World",Dan White Jr.,"Jr., Dan White",,"=""0802418880""","=""9780802418883""",4,4.36,Moody Publishers,Paperback,240,2019,2019,,2022/08/28,2022-reads,2022-reads (#44),read,,,,1,0
610024,The Dark Interval: Towards a Theology of Story,John Dominic Crossan,"Crossan, John Dominic",,"=""0944344062""","=""9780944344064""",4,4.03,Polebridge Press,Paperback,114,1988,1975,,2022/08/26,2022-reads,2022-reads (#43),read,,,,1,0
35469581,"The Phoenix Project: A Novel about It, Devops, and Helping Your Business Win",Gene Kim,"Kim, Gene",,"=""1942788290""","=""9781942788294""",3,4.27,IT Revolution Press,Paperback,349,2018,2013,2022/08/14,2022/08/14,2022-reads,2022-reads (#42),read,One step above the typical corporate training video; sort of a casual primer on lean thinking and DevOps. Michael Crichton would’ve made it a lot more interesting. ,,,1,0
57941219,"Once a Thief (Simon Riske, #4)",Christopher Reich,"Reich, Christopher",,"=""0316456098""","=""9780316456098""",4,4.24,Mulholland Books,Hardcover,352,2022,2022,,2022/08/11,2022-reads,2022-reads (#41),read,,,,1,0
36854777,The Invention of Religion: Faith and Covenant in the Book of Exodus,Jan Assmann,"Assmann, Jan",Robert Savage,"=""0691157081""","=""9780691157085""",4,4.11,Princeton University Press,Hardcover,424,2018,,,2022/08/11,2022-reads,2022-reads (#40),read,,,,1,0
58214330,"This Here Flesh: Spirituality, Liberation, and the Stories That Make Us",Cole Arthur Riley,"Riley, Cole Arthur",,"=""0593239776""","=""9780593239773""",5,4.69,Convergent Books,Hardcover,203,2022,2022,,2022/07/23,2022-reads,2022-reads (#39),read,,,,1,0
59794560,Having the Mind of Christ: Eight Axioms to Cultivate a Robust Faith,Matt Tebbe,"Tebbe, Matt",Ben Sternke,"=""1514003597""","=""9781514003596""",5,4.66,IVP,Paperback,192,2022,,,2022/07/23,2022-reads,2022-reads (#38),read,,,,1,0
27161156,Hillbilly Elegy: A Memoir of a Family and Culture in Crisis,J.D. Vance,"Vance, J.D.",,"=""0062300547""","=""9780062300546""",3,3.88,Harper,Hardcover,264,2016,2016,2016/08/18,2016/08/18,2016-reads,2016-reads (#52),read,,,,1,0
51288758,"Incarnation & Inclusion, Abba & Lamb",Bradley Jersak,"Jersak, Bradley","Eden Jersak, Jamie Winship, Donna Winship","=""1082461733""","=""9781082461736""",5,4.64,Independently Published,Paperback,188,2019,,,2022/07/02,2022-reads,2022-reads (#37),read,,,,1,0
44526111,Searching for the Oldest Stars: Ancient Relics from the Early Universe,Anna Frebel,"Frebel, Anna",,"=""0691197199""","=""9780691197197""",4,4.00,Princeton University Press,Paperback,320,2019,2012,,2022/06/29,2022-reads,2022-reads (#36),read,,,,1,0
56169058,Let the Light In: Healing from Distorted Images of God,Colin McCartney,"McCartney, Colin",,"=""1513808095""","=""9781513808093""",5,4.17,Herald Press,Paperback,304,2021,,2022/06/26,2022/06/26,2022-reads,2022-reads (#35),read,"A very readable, accessible summary of the deconstructed evangelicalism in the stream of Greg Boyd, Brian Zahnd, and Brad Jersak. This is the one to give a friend who is struggling with the inherent inconsistencies of popular evangelical teaching to provide a good introduction before diving into the deep end. ",,,1,0
58438506,Blood in the Garden: The Flagrant History of the 1990s New York Knicks,Chris  Herring,"Herring, Chris",,"=""1982132116""","=""9781982132118""",4,4.31,Atria Books,Hardcover,368,2022,,,2022/06/26,2022-reads,2022-reads (#34),read,,,,1,0
58495632,"Salty: Lessons on Eating, Drinking, and Living from Revolutionary Women",Alissa Wilkinson,"Wilkinson, Alissa",,"=""1506473555""","=""9781506473550""",5,3.73,Broadleaf Books,Hardcover,194,2022,2022,,2022/06/25,2022-reads,2022-reads (#33),read,,,,1,0
52579165,How God Becomes Real: Kindling the Presence of Invisible Others,T.M. Luhrmann,"Luhrmann, T.M.",,"=""0691164460""","=""9780691164465""",5,4.23,Princeton University Press,Hardcover,256,2020,2020,,2022/06/19,2022-reads,2022-reads (#32),read,,,,1,0
54764464,The Beatitudes through the Ages,Rebekah Eklund,"Eklund, Rebekah",Dale C. Allison,"=""0802876501""","=""9780802876508""",5,4.51,Eerdmans,Hardcover,352,2021,,,2022/06/10,2022-reads,2022-reads (#31),read,,,,1,0
1328762,White Flight: Atlanta and the Making of Modern Conservatism,Kevin M. Kruse,"Kruse, Kevin M.",,"=""0691133867""","=""9780691133867""",5,4.27,Princeton University Press,Paperback,352,2007,2005,,2022/05/30,2022-reads,2022-reads (#30),read,,,,1,0
50548197,"A Deadly Education (The Scholomance, #1)",Naomi Novik,"Novik, Naomi",,"=""0593128486""","=""9780593128480""",4,4.01,Del Rey Books,Hardcover,336,2020,2020,,2022/05/29,2022-reads,2022-reads (#29),read,,,,1,0
49089631,Everything Sad Is Untrue: (a true story),Daniel Nayeri,"Nayeri, Daniel",,"=""1646140001""","=""9781646140008""",5,4.36,Levine Querido,Hardcover,356,2020,2020,,2022/05/20,2022-reads,2022-reads (#28),read,,,,1,0
10365007,The Emergent Christ: Exploring the Meaning of Catholic in an Evolutionary Universe,Ilia Delio,"Delio, Ilia",,"=""1570759081""","=""9781570759086""",5,4.34,Orbis Books,Paperback,197,2011,2011,,2022/05/07,2022-reads,2022-reads (#27),read,,,,1,0
57874791,When We Cease to Understand the World,Benjamín Labatut,"Labatut, Benjamín",Adrian Nathan West,"=""1782276149""","=""9781782276142""",5,4.15,Pushkin Press,Paperback,192,2021,2019,,2022/04/26,2022-reads,2022-reads (#26),read,,,,1,0
55678426,The Last Commandment,Scott Shepherd,"Shepherd, Scott",,"=""1613162286""","=""9781613162286""",4,3.88,Mysterious Press,Hardcover,336,2021,,,2022/04/21,2022-reads,2022-reads (#25),read,,,,1,0
14781555,Do I Make Myself Clear? Why Writing Well Matters,Harold Evans,"Evans, Harold","Bernard Levin, Hilary Mantel, Roger Angell, David Foster Wallace, Barbara Demick, George Orwell, Bret Stephens, Edmund Morris, Garry Wills, Ian Jack, Martha Gellhorn, Roya Hakakian, David Blundy, Theodore M. Bernstein, William Safire, Helen Sword","=""0316277177""","=""9780316277174""",4,3.61,"Little, Brown and Company",Hardcover,416,2017,2017,,2022/04/17,2022-reads,2022-reads (#24),read,,,,1,0
42585184,Protestants Abroad: How Missionaries Tried to Change the World But Changed America,David A. Hollinger,"Hollinger, David A.",,"=""0691192782""","=""9780691192789""",4,3.94,Princeton University Press,Paperback,408,2019,,,2022/04/16,2022-reads,2022-reads (#23),read,,,,1,0
42585160,Bible Nation: The United States of Hobby Lobby,Candida R. Moss,"Moss, Candida R.",Joel S. Baden,"=""0691191700""","=""9780691191706""",4,3.78,Princeton University Press,Paperback,252,2019,2018,,2022/04/10,2022-reads,2022-reads (#22),read,,,,1,0
56269264,The Dawn of Everything: A New History of Humanity,David Graeber,"Graeber, David",David Wengrow,"=""0374157359""","=""9780374157357""",5,4.21,"Farrar, Straus and Giroux",Hardcover,692,2021,2021,,2022/04/09,2022-reads,2022-reads (#21),read,,,,1,0
44526061,A Different Kind of Animal: How Culture Transformed Our Species,Robert   Boyd,"Boyd, Robert",,"=""0691195900""","=""9780691195902""",4,4.04,Princeton University Press,Paperback,248,2019,,,2022/03/27,2022-reads,2022-reads (#20),read,,,,1,0
51720367,Strange Rites: New Religions for a Godless World,Tara Isabella Burton,"Burton, Tara Isabella",,"=""1541762533""","=""9781541762534""",4,3.99,PublicAffairs,Hardcover,301,2020,2020,,2022/03/24,2022-reads,2022-reads (#19),read,,,,1,0
58429181,Attached to God: A Practical Guide to Deeper Spiritual Experience,Krispin Mayfield,"Mayfield, Krispin",,"=""0310363799""","=""9780310363798""",5,4.59,Zondervan,Paperback,256,2022,,,2022/03/20,2022-reads,2022-reads (#18),read,,,,1,0
42585161,The Dead Sea Scrolls: A Biography,John J. Collins,"Collins, John J.",,"=""0691191719""","=""9780691191713""",4,3.75,Princeton University Press,Paperback,288,2019,2012,,2022/03/15,2022-reads,2022-reads (#17),read,,,,1,0
57693266,The Method: How the Twentieth Century Learned to Act,Isaac Butler,"Butler, Isaac",,"=""1635574773""","=""9781635574777""",5,4.23,Bloomsbury Publishing,Hardcover,512,2022,2022,,2022/03/12,2022-reads,2022-reads (#16),read,,,,1,0
51720844,Belabored: A Vindication of the Rights of Pregnant Women,Lyz Lenz,"Lenz, Lyz",,"=""1541762835""","=""9781541762831""",5,4.27,Bold Type Books,Hardcover,224,2020,2020,,2022/03/11,2022-reads,2022-reads (#15),read,,,,1,0
48710567,The Joshua Generation: Israeli Occupation and the Bible,Rachel Havrelock,"Havrelock, Rachel",,"=""0691198934""","=""9780691198934""",4,4.33,Princeton University Press,Hardcover,264,2020,,2022/03/07,2022/03/07,2022-reads,2022-reads (#14),read,"An interesting and yet odd little book. <br/><br/>Basic structure:<br/>- Ch. 1 & 2: Overview of the Book of Joshua<br/>- Ch. 3 & 4: How David Ben-Gurion led modern Israel to read Joshua in a way that cast Jewish settlers as the re-embodiment of Joshua and the Israelites, driving out the Canaanites. <br/>- Conclusion: Excursus on the struggle between the Israelis and Palestinians for Palestinian access to fresh water, with two sentences at the end dreaming about a future where they give up the strife. <br/><br/>I enjoyed the book, especially chapters 3&4. I am fascinated by the idea that modern Israelis have used novel interpretations of the Bible to support their political cause in ways that seem very familiar to American evangelicals. <br/><br/>The conclusion seemed like a complete non sequitur, a tacked-on ending apparently important to the author but almost completely unrelated to the bulk of the book. I’m very surprised the editor allowed her to keep it. <br/><br/>Still worth a read for the main body of the book.",,,1,0
1530788,Fearful Symmetry: The Search for Beauty in Modern Physics,A. Zee,"Zee, A.",,"=""0691134820""","=""9780691134826""",4,3.87,Princeton University Press,Paperback,376,2007,1986,2022/03/05,2022/03/05,2022-reads,2022-reads (#13),read,"A little dated, but very readable. ",,,1,0
56783228,Reading Evangelicals: How Christian Fiction Shaped a Culture and a Faith,Daniel Silliman,"Silliman, Daniel",,"=""0802879357""","=""9780802879356""",4,4.27,Eerdmans,Hardcover,286,2021,,,2022/03/01,2022-reads,2022-reads (#12),read,,,,1,0
